Ad group report
1 October 2024 - 30 April 2025
Ad group status,Ad group,Campaign,Currency code,Default Max CPC,Max. CPV,Max. CPM,Target CPA,Target ROAS,Target CPM,Status,Status reasons,Ad group type,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand inclusions,Locations of interest,Conv. (platform comparable),Cost / Conv. (platform comparable),Conv. value / Cost (platform comparable),Viewable CTR,Avg. viewable CPM,Viewable impr.,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Paused,Trapezoid,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,0.00,2,0,0.00%,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Sloping,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,769.67,30,13,43.33%,1.78,23.09,[],[],0.00,0,0.00, --,0,0,13,0.00%,0.00,0.00,0.00,1.78,0.00
Paused,Arched Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Slanted,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,1075.50,20,5,25.00%,4.30,21.51,[],[],0.00,0,0.00, --,0,0,5,20.00%,450.00,20.92,1.00,4.30,21.51
Paused,Interior Wood,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,australian awning blinds uk,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Full Height Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,australian awning,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,John Lewis Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Australian Awning Company - Broad Match,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Eligible,unknown,Standard,GBP,0,0.00,22,0,0.00%,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
