Ad group report
1 October 2024 - 30 April 2025
Ad group status,Ad group,Campaign,Currency code,Default Max CPC,Max. CPV,Max. CPM,Target CPA,Target ROAS,Target CPM,Status,Status reasons,Ad group type,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand inclusions,Locations of interest,Conv. (platform comparable),Cost / Conv. (platform comparable),Conv. value / Cost (platform comparable),Viewable CTR,Avg. viewable CPM,Viewable impr.,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Enabled,Custom Intent,DMG | Warm & RM - UK (tCPA £28),GBP, --, --, --,40.00, --, --,Eligible,unknown, --,GBP,0,10.86,"990,459","102,624",10.36%,0.10,10757.56,[],[],203.50,52.86,1.33, --,1.74,691,"7,763",0.40%,"27,441.14",2.55,407.45,1.39,26.40
Enabled,Email List,DMG | Warm & RM - UK (tCPA £28),GBP, --, --, --,40.00, --, --,Eligible,unknown, --,GBP,0,9.82,"440,712","42,982",9.75%,0.10,4326.93,[],[],90.17,47.99,1.50, --,2.69,204,"2,796",0.34%,"9,928.07",2.29,145.41,1.55,29.76
Paused,australian awnings edinburgh,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Hillarys,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Buy Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Angled Top,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,600.00,3,2,66.67%,0.90,1.80,[],[],0.00,0,0.00, --,0,0,2,0.00%,0.00,0.00,0.00,0.90,0.00
Enabled,Blinds & Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Eligible,unknown,Standard,GBP,0,221.70,439,72,16.40%,1.35,97.33,[],[],0.00,0,0.00, --,0,0,72,4.04%,174.63,1.79,2.91,1.35,33.44
Paused,the australian awning company dundee,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Similar To Audiences,DMG | Warm & RM - UK (tCPA £28),GBP, --, --, --,40.00, --, --,Paused,ad group paused, --,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,the australian awning company glasgow,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Wardrobe Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Broughty Ferry Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Plantation Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,312%, --,Eligible,unknown,Standard,GBP,0,315.56,"2,653",293,11.04%,2.86,837.17,[],[],0.00,0,0.00, --,0,0,293,4.20%,"1,744.00",2.08,12.30,2.86,68.06
Paused,Angle,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,648.84,72,19,26.39%,2.46,46.72,[],[],0.00,0,0.00, --,0,0,19,10.53%,510.00,10.92,2.00,2.46,23.36
Paused,australian awnings aberdeen,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,australian awnings com,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Awnings (30 Days),DMG | Warm & RM - UK (tCPA £28),GBP, --, --, --,40.00, --, --,Paused,ad group paused, --,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,California Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,58.55,152,7,4.61%,1.27,8.90,[],[],0.00,0,0.00, --,0,0,7,0.00%,0.00,0.00,0.00,1.27,0.00
Paused,*Awnings (Mobile Only) – dynamic ad group,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused,Dynamic,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Leads,DMG | Warm & RM - UK (tCPA £28),GBP, --, --, --,40.00, --, --,Paused,ad group paused, --,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Apex,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,764.63,95,21,22.11%,3.46,72.64,[],[],0.00,0,0.00, --,0,0,21,0.00%,0.00,0.00,0.00,3.46,0.00
Paused,australian awning co edinburgh,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,australian awnings in dundee,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Electric Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,French Door Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Bi-Fold Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Awnings for Doors,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,302%, --,Eligible,unknown,Standard,GBP,0,365.23,"11,429","1,265",11.07%,3.30,4174.19,[],[],0.00,0,0.00, --,0,0,"1,265",6.17%,"12,240.00",2.93,78.00,3.30,53.52
Paused,australian awning company aberdeen,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Dundee Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Eligible,unknown,Standard,GBP,0,1684.29,78,28,35.90%,4.69,131.37,[],[],0.00,0,0.00, --,0,0,28,3.57%,60.00,0.46,1.00,4.69,131.37
Paused,Luxaflex Blinds (30 Days),DMG | Warm & RM - UK (tCPA £28),GBP, --, --, --,40.00, --, --,Paused,ad group paused, --,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Indoor Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,328%, --,Eligible,unknown,Standard,GBP,0,183.60,"1,701",132,7.76%,2.37,312.30,[],[],0.00,0,0.00, --,0,0,132,9.85%,"1,770.00",5.67,13.00,2.37,24.02
Paused,Motorised Blinds,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Total: Ad groups,,,,,,,,,,,,,GBP,0,20.63,"2,096,332","171,480",8.18%,0.25,43249.19,,,520.68,83.06,0.87, --,2.59,"1,528","23,479",0.86%,"150,140.95",3.47,"1,478.05",1.84,29.26
Total: Account,,,,,,,,,,,,,GBP,0.059,19.99,"2,537,725","189,868",7.48%,0.27,50726.45,,,520.68,97.42,0.74, --,9.99,"46,651","27,628",0.86%,"170,612.97",3.36,"1,637.91",1.84,30.97
Total: Search,,,,,,,,,,,,,GBP,0,376.63,"59,429","7,251",12.20%,3.09,22382.96,,,0.00,0,0.00, --,7.32,"3,530","7,251",8.46%,"94,477.77",4.22,613.66,3.09,36.47
Total: In-stream video,,,,,,,,,,,,,GBP,0.059,10.07,"43,291","14,490",33.47%,0.03,436.08,,,0.00,0,0.00, --,10.48,"41,593",270,0.00%,0.00,0.00,0.00,1.62,0.00
Total: Demand Gen,,,,,,,,,,,,,GBP,0,12.10,"2,056,680","165,750",8.06%,0.15,24888.59,,,520.68,47.80,1.52, --,2.59,"1,528","17,749",0.56%,"63,645.20",2.56,935.26,1.40,26.61
Total: Display,,,,,,,,,,,,,GBP,0,0,0,0, --,0,0.00,,,0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Total: Performance Max,,,,,,,,,,,,,GBP,0.118,7.98,"378,325","2,377",0.63%,1.27,3018.82,,,0.00,0,0.00, --,0,0,"2,358",3.74%,"12,490.01",4.14,89.00,1.28,33.92
